Time (s),Temperature (K),Pressure (bar),Conversion
0.0,350.00,5.000,0.0000
0.5,352.47,5.050,0.0238
1.0,354.79,5.100,0.0909
1.5,356.82,5.150,0.1957
2.0,358.41,5.200,0.3333
2.5,359.49,5.250,0.5000
3.0,359.97,5.300,0.6923
3.5,359.84,5.350,0.9074
4.0,359.09,5.400,1.1429
4.5,357.78,5.450,1.3966
5.0,355.98,5.500,1.6667
5.5,353.82,5.550,1.9516
6.0,351.41,5.600,2.2500
6.5,348.92,5.650,2.5606
7.0,346.49,5.700,2.8824
7.5,344.28,5.750,3.2143
8.0,342.43,5.800,3.5556
8.5,341.05,5.850,3.9054
9.0,340.22,5.900,4.2632
9.5,340.01,5.950,4.6282
10.0,340.41,6.000,5.0000
