Packed Bed Reactor Simulation Results
Model: First-order reaction, isothermal flow
====================================

Length (m),Concentration (mol/m³),Reaction Rate (mol/(m³·s)),Temperature (K)
0.00,2.0000,0.2000,350.0
0.10,1.9005,0.1901,350.4
0.20,1.8060,0.1806,350.8
0.31,1.7162,0.1716,351.2
0.41,1.6308,0.1631,351.6
0.51,1.5497,0.1550,352.0
0.61,1.4726,0.1473,352.4
0.71,1.3993,0.1399,352.8
0.82,1.3297,0.1330,353.3
0.92,1.2636,0.1264,353.7
1.02,1.2007,0.1201,354.1
1.12,1.1410,0.1141,354.5
1.22,1.0843,0.1084,354.8
1.33,1.0303,0.1030,355.2
1.43,0.9791,0.0979,355.6
1.53,0.9304,0.0930,356.0
1.63,0.8841,0.0884,356.4
1.73,0.8401,0.0840,356.8
1.84,0.7983,0.0798,357.2
1.94,0.7586,0.0759,357.6
2.04,0.7209,0.0721,357.9
2.14,0.6850,0.0685,358.3
2.24,0.6510,0.0651,358.7
2.35,0.6186,0.0619,359.0
2.45,0.5878,0.0588,359.4
2.55,0.5586,0.0559,359.8
2.65,0.5308,0.0531,360.1
2.76,0.5044,0.0504,360.5
2.86,0.4793,0.0479,360.8
2.96,0.4555,0.0455,361.2
3.06,0.4328,0.0433,361.5
3.16,0.4113,0.0411,361.8
3.27,0.3908,0.0391,362.2
3.37,0.3714,0.0371,362.5
3.47,0.3529,0.0353,362.8
3.57,0.3354,0.0335,363.1
3.67,0.3187,0.0319,363.4
3.78,0.3028,0.0303,363.7
3.88,0.2878,0.0288,364.0
3.98,0.2734,0.0273,364.3
4.08,0.2598,0.0260,364.6
4.18,0.2469,0.0247,364.8
4.29,0.2346,0.0235,365.1
4.39,0.2230,0.0223,365.4
4.49,0.2119,0.0212,365.6
4.59,0.2013,0.0201,365.9
4.69,0.1913,0.0191,366.1
4.80,0.1818,0.0182,366.4
4.90,0.1728,0.0173,366.6
5.00,0.1642,0.0164,366.8


Summary Statistics
==================
Inlet Concentration: 2.0000 mol/m³
Outlet Concentration: 0.1642 mol/m³
Conversion: 91.79 %
Average Temperature: 359.2 K
