Time_s,Concentration_mol2L,Conversion,Temperature_K
0.00,2.0000,0.0000,298.00
0.10,1.9015,0.0493,300.51
0.20,1.8078,0.0961,302.80
0.30,1.7188,0.1406,304.88
0.40,1.6342,0.1829,306.77
0.51,1.5537,0.2232,308.49
0.61,1.4772,0.2614,310.04
0.71,1.4044,0.2978,311.44
0.81,1.3352,0.3324,312.70
0.91,1.2695,0.3653,313.84
1.01,1.2070,0.3965,314.85
1.11,1.1475,0.4262,315.75
1.21,1.0910,0.4545,316.55
1.31,1.0373,0.4814,317.25
1.41,0.9862,0.5069,317.87
1.52,0.9376,0.5312,318.40
1.62,0.8914,0.5543,318.86
1.72,0.8475,0.5762,319.25
1.82,0.8058,0.5971,319.58
1.92,0.7661,0.6170,319.86
2.02,0.7284,0.6358,320.07
2.12,0.6925,0.6538,320.24
2.22,0.6584,0.6708,320.37
2.32,0.6260,0.6870,320.45
2.42,0.5951,0.7024,320.49
2.53,0.5658,0.7171,320.50
2.63,0.5380,0.7310,320.48
2.73,0.5115,0.7443,320.43
2.83,0.4863,0.7569,320.35
2.93,0.4623,0.7688,320.25
3.03,0.4395,0.7802,320.13
3.13,0.4179,0.7910,319.99
3.23,0.3973,0.8013,319.83
3.33,0.3778,0.8111,319.66
3.43,0.3591,0.8204,319.47
3.54,0.3415,0.8293,319.26
3.64,0.3246,0.8377,319.05
3.74,0.3087,0.8457,318.82
3.84,0.2935,0.8533,318.59
3.94,0.2790,0.8605,318.35
4.04,0.2653,0.8674,318.10
4.14,0.2522,0.8739,317.85
4.24,0.2398,0.8801,317.59
4.34,0.2280,0.8860,317.33
4.44,0.2167,0.8916,317.06
4.55,0.2061,0.8970,316.79
4.65,0.1959,0.9020,316.52
4.75,0.1863,0.9069,316.25
4.85,0.1771,0.9115,315.97
4.95,0.1684,0.9158,315.70
5.05,0.1601,0.9200,315.42
5.15,0.1522,0.9239,315.15
5.25,0.1447,0.9277,314.87
5.35,0.1376,0.9312,314.60
5.45,0.1308,0.9346,314.33
5.56,0.1244,0.9378,314.05
5.66,0.1182,0.9409,313.78
5.76,0.1124,0.9438,313.52
5.86,0.1069,0.9466,313.25
5.96,0.1016,0.9492,312.99
6.06,0.0966,0.9517,312.73
6.16,0.0918,0.9541,312.47
6.26,0.0873,0.9563,312.21
6.36,0.0830,0.9585,311.96
6.46,0.0789,0.9605,311.71
6.57,0.0750,0.9625,311.46
6.67,0.0713,0.9643,311.22
6.77,0.0678,0.9661,310.98
6.87,0.0645,0.9678,310.74
6.97,0.0613,0.9693,310.51
7.07,0.0583,0.9709,310.27
7.17,0.0554,0.9723,310.05
7.27,0.0527,0.9737,309.82
7.37,0.0501,0.9749,309.60
7.47,0.0476,0.9762,309.38
7.58,0.0453,0.9774,309.17
7.68,0.0431,0.9785,308.96
7.78,0.0409,0.9795,308.75
7.88,0.0389,0.9805,308.55
7.98,0.0370,0.9815,308.35
8.08,0.0352,0.9824,308.15
8.18,0.0334,0.9833,307.95
8.28,0.0318,0.9841,307.76
8.38,0.0302,0.9849,307.58
8.48,0.0287,0.9856,307.39
8.59,0.0273,0.9863,307.21
8.69,0.0260,0.9870,307.03
8.79,0.0247,0.9876,306.86
8.89,0.0235,0.9883,306.69
8.99,0.0223,0.9888,306.52
9.09,0.0212,0.9894,306.35
9.19,0.0202,0.9899,306.19
9.29,0.0192,0.9904,306.03
9.39,0.0182,0.9909,305.87
9.49,0.0173,0.9913,305.72
9.60,0.0165,0.9918,305.57
9.70,0.0157,0.9922,305.42
9.80,0.0149,0.9925,305.27
9.90,0.0142,0.9929,305.13
10.00,0.0135,0.9933,304.99
