Time_min,T_K
0,450.4
1,451.03
2,452.75
3,454.46
4,453.93
5,454.64
6,456.62
7,456.29
8,455.4
9,456.09
10,454.96
11,454.44
12,454.33
13,451.8
14,451.06
15,
16,449.75
17,449.92
18,448.13
19,447.05
20,448.84
21,447.16
22,447.28
23,446.19
24,447.21
25,448.26
26,447.96
27,450.06
28,450.29
29,451.63
30,452.52
31,455.62
32,455.22
33,455.39
34,457.77
35,456.85
36,458.52
37,457.1
38,457.71
39,458.81
40,458.92
41,457.95
42,
43,456.09
44,454.26
45,453.92
46,453.19
47,453.51
48,452.14
49,449.77
50,450.93
51,450.04
52,449.69
53,450.82
54,451.47
55,451.91
56,451.21
57,452.51
58,454.03
59,455.64
60,455.62
